FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
201301,24,19791,421108,I,47,Missing,Vehicle/Towed Trailer,700,1,1500,70119,OKLAHOMA,2013,January,Dense Fog,Z,52,BRYAN,OUN,1/1/2013 7:00,CST-6,1/1/2013 15:00,0,0,0,1,0,0,ASOS
201301,27,19574,421872,D,28,F,Outside/Open Areas,1525,27,1525,70249,WYOMING,2013,January,Avalanche,Z,24,SALT RIVER & WYOMING RANGES,RIW,1/27/2013 15:25,MST-7,1/27/2013 15:25,0,0,1,0,0,0,Newspaper
201301,27,19575,421873,D,30,M,Outside/Open Areas,1700,27,1700,70250,WYOMING,2013,January,Avalanche,Z,12,TETON & GROS VENTRE MOUNTAINS,RIW,1/27/2013 17:00,MST-7,1/27/2013 17:00,0,0,1,0,0,0,Newspaper
201301,13,19577,422507,I,42,M,Vehicle/Towed Trailer,1100,13,1500,70346,ILLINOIS,2013,January,Winter Weather,Z,81,FRANKLIN,PAH,1/13/2013 11:00,CST-6,1/13/2013 15:00,0,0,0,1,0,0,Trained Spotter
201301,19,19578,422671,D,60,M,In Water,1245,19,1255,70376,ATLANTIC SOUTH,2013,January,Marine Strong Wind,Z,555,SEBASTIAN INLET TO JUPITER INLET 0-20NM,MLB,1/19/2013 12:45,EST-5,1/19/2013 12:55,0,0,1,0,0,0,Newspaper
201302,2,19579,422937,I,46,F,Other,200,2,1800,70418,INDIANA,2013,February,Winter Weather,Z,14,MARSHALL,IWX,2/2/2013 2:00,EST-5,2/2/2013 18:00,0,0,0,1,0,0,CoCoRaHS
201301,9,19587,423156,I,1,M,Vehicle/Towed Trailer,1000,9,1150,70463,PENNSYLVANIA,2013,January,Winter Weather,Z,14,BUTLER,PBZ,1/9/2013 10:00,EST-5,1/9/2013 11:50,0,0,0,2,0,0,Department of Highways
201301,9,19588,423156,I,3,M,Vehicle/Towed Trailer,1000,9,1150,70463,PENNSYLVANIA,2013,January,Winter Weather,Z,14,BUTLER,PBZ,1/9/2013 10:00,EST-5,1/9/2013 11:50,0,0,0,2,0,0,Department of Highways
201301,27,19798,423269,I,47,Missing,Vehicle/Towed Trailer,1200,27,1800,70466,WISCONSIN,2013,January,Winter Storm,Z,25,DUNN,MPX,1/27/2013 12:00,CST-6,1/27/2013 18:00,0,1,0,1,0,0,Trained Spotter
201301,18,19609,424565,D,47,M,In Water,2100,22,2200,70699,HAWAII,2013,January,High Surf,Z,2,KAUAI WINDWARD,HFO,1/17/2013 21:00,HST-10,1/22/2013 22:00,0,0,2,0,0,0,Trained Spotter
201301,18,19610,424565,D,46,M,In Water,2100,22,2200,70699,HAWAII,2013,January,High Surf,Z,2,KAUAI WINDWARD,HFO,1/17/2013 21:00,HST-10,1/22/2013 22:00,0,0,2,0,0,0,Trained Spotter
201302,23,19624,426115,I,51,M,Vehicle/Towed Trailer,2100,23,2100,70912,MONTANA,2013,February,Winter Weather,Z,39,EASTERN CARBON,BYZ,2/23/2013 21:00,MST-7,2/23/2013 21:00,0,0,0,1,0,0,Broadcast Media
201301,27,19667,426456,I,21,F,Vehicle/Towed Trailer,2300,27,2300,70969,MONTANA,2013,January,Winter Weather,Z,34,NORTHERN STILLWATER,BYZ,1/27/2013 23:00,MST-7,1/27/2013 23:00,0,0,0,1,0,0,Broadcast Media
