,FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
0,201301,24,19791,421108,I,44,,Vehicle/Towed Trailer,700,1,1500,70119,OKLAHOMA,2013,January,Dense Fog,Z,52,BRYAN,OUN,CST-6,0,0,0,1,0,0,ASOS
1,201301,27,19574,421872,D,28,F,Outside/Open Areas,1525,27,1525,70249,WYOMING,2013,January,Avalanche,Z,24,SALT RIVER & WYOMING RANGES,RIW,MST-7,0,0,1,0,0,0,Newspaper
2,201301,27,19575,421873,D,30,M,Outside/Open Areas,1700,27,1700,70250,WYOMING,2013,January,Avalanche,Z,12,TETON & GROS VENTRE MOUNTAINS,RIW,MST-7,0,0,1,0,0,0,Newspaper
3,201301,13,19577,422507,I,42,M,Vehicle/Towed Trailer,1100,13,1500,70346,ILLINOIS,2013,January,Winter Weather,Z,81,FRANKLIN,PAH,CST-6,0,0,0,1,0,0,Trained Spotter
4,201301,19,19578,422671,D,60,M,In Water,1245,19,1255,70376,ATLANTIC SOUTH,2013,January,Marine Strong Wind,Z,555,SEBASTIAN INLET TO JUPITER INLET 0-20NM,MLB,EST-5,0,0,1,0,0,0,Newspaper
5,201302,2,19579,422937,I,46,F,Other,200,2,1800,70418,INDIANA,2013,February,Winter Weather,Z,14,MARSHALL,IWX,EST-5,0,0,0,1,0,0,CoCoRaHS
6,201301,9,19587,423156,I,1,M,Vehicle/Towed Trailer,1000,9,1150,70463,PENNSYLVANIA,2013,January,Winter Weather,Z,14,BUTLER,PBZ,EST-5,0,0,0,2,0,0,Department of Highways
7,201301,9,19588,423156,I,3,M,Vehicle/Towed Trailer,1000,9,1150,70463,PENNSYLVANIA,2013,January,Winter Weather,Z,14,BUTLER,PBZ,EST-5,0,0,0,2,0,0,Department of Highways
8,201301,27,19798,423269,I,38,,Vehicle/Towed Trailer,1200,27,1800,70466,WISCONSIN,2013,January,Winter Storm,Z,25,DUNN,MPX,CST-6,0,1,0,1,0,0,Trained Spotter
9,201301,18,19609,424565,D,47,M,In Water,2100,22,2200,70699,HAWAII,2013,January,High Surf,Z,2,KAUAI WINDWARD,HFO,HST-10,0,0,2,0,0,0,Trained Spotter
10,201301,18,19610,424565,D,46,M,In Water,2100,22,2200,70699,HAWAII,2013,January,High Surf,Z,2,KAUAI WINDWARD,HFO,HST-10,0,0,2,0,0,0,Trained Spotter
11,201302,23,19624,426115,I,51,M,Vehicle/Towed Trailer,2100,23,2100,70912,MONTANA,2013,February,Winter Weather,Z,39,EASTERN CARBON,BYZ,MST-7,0,0,0,1,0,0,Broadcast Media
12,201301,27,19667,426456,I,21,F,Vehicle/Towed Trailer,2300,27,2300,70969,MONTANA,2013,January,Winter Weather,Z,34,NORTHERN STILLWATER,BYZ,MST-7,0,0,0,1,0,0,Broadcast Media
13,201301,30,19662,426639,D,50,F,Outside/Open Areas,2045,30,2115,70332,WEST VIRGINIA,2013,January,Heavy Rain,C,53,MASON,RLX,EST-5,0,0,1,0,0,0,County Official
14,201302,25,19671,427387,I,71,M,Permanent Home,1800,25,1800,70953,OKLAHOMA,2013,February,Heavy Snow,Z,10,WOODWARD,OUN,CST-6,0,0,0,1,0,0,Emergency Manager
15,201301,16,19672,427445,I,60,M,Vehicle/Towed Trailer,600,16,1000,71110,IOWA,2013,January,Winter Weather,Z,11,ALLAMAKEE,ARX,CST-6,0,0,0,1,5000,0,Newspaper
16,201301,21,19686,427488,D,38,M,Outside/Open Areas,2200,21,200,71118,WISCONSIN,2013,January,Cold/Wind Chill,Z,39,BROWN,GRB,CST-6,0,0,1,0,0,0,Law Enforcement
17,201302,18,19678,427656,D,60,M,In Water,1700,18,2200,71155,GUAM,2013,February,Rip Current,Z,7,SAIPAN,GUM,GST10,0,0,1,0,0,0,Newspaper
18,201303,1,19685,427677,D,40,M,Outside/Open Areas,1030,1,1030,71166,WYOMING,2013,March,Avalanche,Z,12,TETON & GROS VENTRE MOUNTAINS,RIW,MST-7,0,0,1,0,0,0,Newspaper
19,201303,3,19680,427678,D,44,,Other,1300,3,1330,71167,NEW MEXICO,2013,March,Strong Wind,Z,515,EAST SLOPES OF THE SANGRE DE CRISTO MOUNTAINS,ABQ,MST-7,0,0,1,0,100000,0,AWOS
20,201302,26,19681,427696,D,61,M,In Water,1645,26,1930,71171,GUAM,2013,February,Rip Current,Z,7,SAIPAN,GUM,GST10,0,0,1,0,0,0,Newspaper
21,201302,26,19684,427801,I,81,M,Outside/Open Areas,1700,25,1400,71063,NEW MEXICO,2013,February,Blizzard,Z,535,CURRY COUNTY,ABQ,MST-7,0,0,0,1,0,0,Department of Highways
22,201301,11,19691,428112,I,49,M,Other,1550,11,1553,71235,NEBRASKA,2013,January,Winter Weather,Z,59,LINCOLN,LBF,CST-6,0,0,0,4,1000000,0,Law Enforcement
23,201301,11,19692,428112,I,49,M,Other,1550,11,1553,71235,NEBRASKA,2013,January,Winter Weather,Z,59,LINCOLN,LBF,CST-6,0,0,0,4,1000000,0,Law Enforcement
24,201301,11,19693,428112,I,49,M,Other,1550,11,1553,71235,NEBRASKA,2013,January,Winter Weather,Z,59,LINCOLN,LBF,CST-6,0,0,0,4,1000000,0,Law Enforcement
25,201301,11,19694,428112,I,49,M,Other,1550,11,1553,71235,NEBRASKA,2013,January,Winter Weather,Z,59,LINCOLN,LBF,CST-6,0,0,0,4,1000000,0,Law Enforcement
26,201302,21,19696,428124,D,74,F,Mobile/Trailer Home,1310,21,1319,71237,TEXAS,2013,February,Tornado,C,403,SABINE,SHV,CST-6,2,0,1,0,2.50E+11,0,NWS Storm Survey
27,201301,30,19923,428260,D,51,M,Mobile/Trailer Home,1112,30,1121,71266,GEORGIA,2013,January,Tornado,C,15,BARTOW,FFC,EST-5,9,0,1,0,60000000,0,NWS Storm Survey
28,201302,26,19697,428333,D,60,M,Vehicle/Towed Trailer,620,26,620,71283,GEORGIA,2013,February,Strong Wind,Z,46,ROCKDALE,FFC,EST-5,0,0,1,0,50000,0,Law Enforcement
29,201301,30,19704,428867,I,39,M,Vehicle/Towed Trailer,600,31,700,71230,MICHIGAN,2013,January,Winter Storm,Z,85,NORTHERN SCHOOLCRAFT,MQT,EST-5,0,0,0,1,0,0,Public
30,201301,27,19711,428996,I,45,M,Vehicle/Towed Trailer,700,27,1500,71353,MINNESOTA,2013,January,Winter Weather,Z,98,ROCK,FSD,CST-6,0,0,0,1,0,0,Law Enforcement
31,201301,1,19713,429176,D,44,M,In Water,1536,4,400,71391,PUERTO RICO,2013,January,High Surf,Z,2,NORTHEAST,SJU,AST-4,0,0,1,0,0,0,Newspaper
32,201301,13,19715,429178,D,40,M,In Water,1445,16,2045,71392,PUERTO RICO,2013,January,High Surf,Z,2,NORTHEAST,SJU,AST-4,0,0,1,0,0,0,Broadcast Media
33,201301,31,19972,429685,D,26,F,Camping,200,31,400,71384,MARYLAND,2013,January,Flash Flood,C,3,ANNE ARUNDEL,LWX,EST-5,0,0,1,0,0,0,911 Call Center
34,201301,4,19716,429686,D,60,M,Outside/Open Areas,115,4,115,71460,ILLINOIS,2013,January,Cold/Wind Chill,Z,14,COOK,LOT,CST-6,0,0,1,0,0,0,Newspaper
35,201301,17,19717,429697,D,71,M,Vehicle/Towed Trailer,2024,17,2024,71462,ILLINOIS,2013,January,Cold/Wind Chill,Z,14,COOK,LOT,CST-6,0,0,1,0,0,0,Newspaper
36,201301,20,19720,429700,D,70,M,Unknown,1640,20,1640,71463,ILLINOIS,2013,January,Cold/Wind Chill,Z,14,COOK,LOT,CST-6,0,0,1,0,0,0,Newspaper
37,201301,27,19723,429789,I,24,F,Vehicle/Towed Trailer,500,28,500,71081,UTAH,2013,January,Winter Storm,Z,5,GREAT SALT LAKE DESERT AND MOUNTAINS,SLC,MST-7,0,1,0,1,0,0,Trained Spotter
38,201301,18,19724,429868,D,7,M,Outside/Open Areas,1530,18,1530,71077,UTAH,2013,January,Avalanche,Z,9,WESTERN UINTA MOUNTAINS,SLC,MST-7,1,0,2,0,0,0,Other Federal Agency
39,201301,18,19725,429868,D,14,M,Outside/Open Areas,1530,18,1530,71077,UTAH,2013,January,Avalanche,Z,9,WESTERN UINTA MOUNTAINS,SLC,MST-7,1,0,2,0,0,0,Other Federal Agency
40,201301,24,19935,429887,I,36,,Unknown,600,24,1200,71079,UTAH,2013,January,Ice Storm,Z,4,SOUTHERN WASATCH FRONT,SLC,MST-7,0,73,0,1,0,0,Newspaper
